	FW101    Fieldworker code	FW000    Country code and phase	FW102    Fieldworker state of residence	FW103    Fieldworker type of place of residence	FW104    Fieldworker age	FW105    Fieldworker sex	FW106    Fieldworker marital status	FW107    Fieldworker number of living children	FW108    Fieldworker ever had a child who died	FW109    Highest level of school attended by fieldworker	FW110    Highest gradeformyear at that level completed by fieldworker	FW111    Fieldworker religion	FW112    Fieldworker ethnicity	FW113A   English	FW113B   Hausa	FW113C   Yoruba	FW113D   Igbo	FW113E   Urhobo	FW113F   Ibibio	FW113G   Edo	FW113H   Fulfulde	FW113I   Kanuri	FW113X   Other language	FW113Y   No other language	FW114    Fieldworker's mother tonguenative language	FW115A   Has fieldworker ever worked on a DHS prior to this survey	FW115B   Has fieldworker ever worked on an MIS prior to this survey	FW115C   Has fieldworker ever worked on any other survey prior to this survey	FW116    Was fieldworker working for implementing agency at the time employed for DHS	FW117    Is fieldworker a permanent or temporary employee of agency	FW118    Does fieldworker has any comments	FW102A   Fieldworker region of residence	FW114A   Fieldworker's mother tonguenative language
128	408.0	NG8	KWARA	CIty	36.0	Female	Currently married	4.0	Yes	Higher	5.0	Islam	Yoruba	English		Yoruba									Yoruba	No	No	Yes	No		No	KWARA	Yoruba
129	402.0	NG8	KWARA	CIty	42.0	Female	Currently married	2.0	No	Higher	4.0	Islam	Yoruba	English		Yoruba									Yoruba	No	No	Yes	Yes, NPC	Permanent	No	KWARA	Yoruba
130	403.0	NG8	KWARA	CIty	37.0	Male	Currently married	3.0	No	Higher	5.0	Islam	Yoruba	English		Yoruba									Yoruba	No	No	No	No		No	KWARA	Yoruba
131	401.0	NG8	KWARA	CIty	28.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Yoruba	English		Yoruba									Yoruba	No	No	Yes	No		No	KWARA	Yoruba
132	400.0	NG8	KWARA	CIty	33.0	Female	Currently married	1.0	No	Higher	5.0	Other christian	Yoruba	English		Yoruba									Yoruba	No	No	No	Yes, NPC	Temporary	No	KWARA	Yoruba
133	1700.0	NG8	KATSINA	Town	36.0	Female	Currently married	2.0	No	Higher	6.0	Islam	Hausa	English	Hausa										Hausa	No	No	No	Yes, NPC	Permanent	No	KATSINA	Hausa
134	1703.0	NG8	KATSINA	Town	37.0	Female	Currently married	1.0	No	Higher	5.0	Islam	Hausa	English	Hausa										Hausa	No	No	No	No		No	KATSINA	Hausa
135	1702.0	NG8	KATSINA	Town	32.0	Female	Currently married	2.0	No	Higher	5.0	Islam	Hausa	English	Hausa										Hausa	No	No	No	No		No	KATSINA	Hausa
136	1708.0	NG8	KATSINA	CIty	51.0	Male	Currently married	9.0	No	Higher	7.0	Islam	Hausa	English	Hausa										Hausa	No	No	Yes	No		No	KATSINA	Hausa
137	1100.0	NG8	TARABA	CIty	37.0	Male	Currently married	0.0	No	Higher	4.0	Islam	Fulani	English	Hausa						Fulfulde				Fulfulde	No	No	Yes	Yes, NPC	Permanent	No	TARABA	Fulfulde
138	1102.0	NG8	GOMBE	Town	23.0	Female	Currently married	0.0	No	Higher	4.0	Islam	Fulani	English							Fulfulde				Fulfulde	No	No	Yes	No		No	GOMBE	Fulfulde
139	1103.0	NG8	GOMBE	Town	48.0	Male	Currently married	5.0	No	Higher	4.0	Islam	Fulani	English	Hausa						Fulfulde				Fulfulde	No	No	Yes	No		No	GOMBE	Fulfulde
140	1108.0	NG8	GOMBE	Town	38.0	Male	Currently married	4.0	No	Higher	3.0	Other christian	Tula	English	Hausa								Other language		Hausa	No	No	Yes	No		No	GOMBE	Hausa
141	1101.0	NG8	GOMBE	CIty	24.0	Male	Never married or lived with a man/woman	0.0	No	Higher	3.0	Islam	Hausa	English	Hausa										Hausa	No	No	No	No		No	GOMBE	Hausa
142	103.0	NG8	BENUE	Town	42.0	Female	Currently married	5.0	No	Higher	4.0	Other christian	Tiv	English									Other language		Other	Yes	Yes	No	Yes, NMEP	Permanent	No	BENUE	Other
143	100.0	NG8	BENUE	Town	37.0	Male	Currently married	0.0	No	Higher	6.0	Other christian	Kilba	English	Hausa								Other language		Other	Yes	No	Yes	Yes, NMEP	Permanent	No	BENUE	Other
144	102.0	NG8	BENUE	CIty	31.0	Male	Currently married	1.0	No	Higher	4.0	Other christian	Tiv	English									Other language		Other	No	No	Yes	No		No	BENUE	Other
145	108.0	NG8	BENUE	Town	39.0	Male	Currently married	3.0	No	Higher	5.0	Other christian	Idoma	English	Hausa								Other language		Other	No	No	No	No		No	BENUE	Other
146	101.0	NG8	BENUE	CIty	25.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Igede	English									Other language		Other	No	No	Yes	No		No	BENUE	Other
147	1402.0	NG8	KANO	CIty	47.0	Male	Currently married	2.0	No	Higher	4.0	Islam	Kanuri/Beriberi	English	Hausa								Other language		Ibibio	No	No	No	No		No	KANO	Ibibio
148	1608.0	NG8	KANO	CIty	39.0	Female	Currently married	1.0	No	Higher	3.0	Islam	Hausa	English	Hausa										Kanuri	No	No	No	No		No	KANO	Kanuri
149	1602.0	NG8	KANO	CIty	49.0	Female	Currently married	3.0	No	Higher	4.0	Islam	Hausa	English	Hausa										Hausa	No	No	No	Yes, NPC	Permanent	No	KANO	Hausa
150	1603.0	NG8	KANO	Town	28.0	Female	Currently married	4.0	No	Higher	5.0	Islam	Hausa	English	Hausa		Igbo								Hausa	No	No	No	No		No	KANO	Hausa
151	1600.0	NG8	KANO	CIty	45.0	Male	Currently married	3.0	No	Higher	5.0	Islam	Hausa	English	Hausa										Hausa	No	No	Yes	No		No	KANO	Hausa
152	1601.0	NG8	KANO	Town	37.0	Male	Currently married	2.0	No	Higher	5.0	Islam	Hausa	English	Hausa										Hausa	No	No	Yes	Yes, NPC	Temporary	No	KANO	Hausa
153	3100.0	NG8	RIVERS	CIty	32.0	Male	Currently married	2.0	No	Higher	5.0	Other christian	Kalabari	English									Other language		Other	No	No	Yes	Yes, NPC	Temporary	Yes	RIVERS	Other
154	3101.0	NG8	RIVERS	CIty	27.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Abua	English									Other language		Other	No	No	No	No		Yes	RIVERS	Other
155	3108.0	NG8	RIVERS	CIty	42.0	Female	Currently married	2.0	No	Higher	5.0	Other christian	Ijaw/Izon	English			Igbo						Other language		Other	Yes	Yes	Yes	No		No	RIVERS	Other
156	3103.0	NG8	RIVERS	CIty	31.0	Female	Never married or lived with a man/woman	0.0	No	Higher	5.0	Other christian	Ijaw/Izon	English									Other language		Other	No	No	No	No		Yes	RIVERS	Other
157	1302.0	NG8	YOBE	Town	38.0	Male	Currently married	0.0	No	Higher	4.0	Islam	Hausa	English	Hausa										Hausa	No	No	Yes	No		No	YOBE	Hausa
158	1301.0	NG8	YOBE	Town	38.0	Female	Currently married	7.0	No	Higher	4.0	Islam	Kanuri/Beriberi	English	Hausa							Kanuri			Kanuri	No	No	No	No		No	YOBE	Kanuri
159	1308.0	NG8	YOBE	Town	40.0	Male	Currently married	4.0	No	Higher	5.0	Islam	Kanuri/Beriberi	English	Hausa							Kanuri			Kanuri	No	No	Yes	No		No	YOBE	Kanuri
160	1303.0	NG8	YOBE	Town	36.0	Male	Currently married	5.0	No	Higher	4.0	Islam	Kanuri/Beriberi	English	Hausa							Kanuri			Kanuri	Yes	Yes	No	No		No	YOBE	Kanuri
161	601.0	NG8	FCT	CIty	24.0	Male	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Bajju	English	Hausa										English	No	No	No	No		No	FCT	English
162	3102.0	NG8	FCT	CIty	33.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Igbo/Ibo	English			Igbo								Igbo	Yes	No	Yes	No		Yes	FCT	Igbo
163	2902.0	NG8	FCT	CIty	30.0	Male	Never married or lived with a man/woman	0.0	No	Higher	5.0	Other christian	Igbo/Ibo	English			Igbo								Igbo	No	No	No	No		No	FCT	Igbo
164	2900.0	NG8	FCT	CIty	32.0	Male	Currently married	0.0	No	Higher	4.0	Other christian	Ijaw/Izon	English		Yoruba							Other language		Other	No	No	Yes	Yes, NPC	Permanent	No	FCT	Other
165	2301.0	NG8	FCT	CIty	31.0	Female	Never married or lived with a man/woman	0.0	No	Higher	5.0	Other christian	Igbo/Ibo	English			Igbo								Igbo	No	No	Yes	Yes, NPC	Permanent	No	FCT	Igbo
166	2300.0	NG8	FCT	CIty	41.0	Female	Currently married	3.0	No	Higher	5.0	Other christian	Igbo/Ibo	English			Igbo								Igbo	Yes	No	Yes	Yes, NPC	Permanent	No	FCT	Igbo
167	1500.0	NG8	KADUNA	CIty	37.0	Female	Currently married	0.0	No	Higher	4.0	Other christian	Jaba	English	Hausa	Yoruba									Other	Yes	No	Yes	No		No	KADUNA	Other
168	1502.0	NG8	KADUNA	CIty	31.0	Female	Separated	2.0	No	Higher	4.0	Islam	Hausa	English	Hausa										Hausa	No	No	Yes	No		No	KADUNA	Hausa
169	1508.0	NG8	KADUNA	Town	44.0	Female	Currently married	3.0	No	Higher	5.0	Other christian	Bajju	English	Hausa	Yoruba							Other language		Other	Yes	No	Yes	No		No	KADUNA	Other
170	1503.0	NG8	KADUNA	Rural	33.0	Male	Currently married	2.0	Yes	Higher	5.0	Islam	Igbo/Ibo	English	Hausa										Hausa	No	No	No	No		No	KADUNA	Hausa
171	2308.0	NG8	EBONYI	CIty	37.0	Female	Never married or lived with a man/woman	0.0	No	Higher	5.0	Catholic	Igbo/Ibo	English			Igbo								Igbo	Yes	No	No	No		Yes	EBONYI	Igbo
172	2303.0	NG8	EBONYI	Town	25.0	Female	Currently married	1.0	No	Higher	3.0	Other christian	Igbo/Ibo	English			Igbo								Igbo	No	No	Yes	No		No	EBONYI	Igbo
173	2302.0	NG8	EBONYI	Rural	27.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Other christian	Igbo/Ibo	English			Igbo								Igbo	No	No	No	No		No	EBONYI	Igbo
174	2903.0	NG8	DELTA	CIty	37.0	Female	Currently married	3.0	No	Higher	4.0	Other christian	Urhobo	English				Urhobo							Urhobo	No	No	No	No		No	DELTA	Urhobo
175	2901.0	NG8	DELTA	Town	31.0	Female	Divorced	0.0	Yes	Higher	4.0	Other christian	Urhobo	English				Urhobo							Urhobo	No	No	No	No		No	DELTA	Urhobo
176	2908.0	NG8	DELTA	Town	39.0	Male	Currently married	1.0	No	Higher	5.0	Other christian	Urhobo	English				Urhobo							Urhobo	Yes	No	Yes	No		Yes	DELTA	Urhobo
177	1408.0	NG8	JIGAWA	CIty	48.0	Male	Currently married	11.0	Yes	Higher	5.0	Islam	Hausa	English	Hausa										Hausa	Yes	No	No	No		Yes	JIGAWA	Hausa
178	1403.0	NG8	JIGAWA	Town	32.0	Female	Never married or lived with a man/woman	0.0	No	Higher	4.0	Islam	Hausa	English	Hausa										Hausa	Yes	Yes	Yes	Yes, NPC	Temporary	No	JIGAWA	Hausa
179	1401.0	NG8	FCT	CIty	41.0	Female	Currently married	0.0	No	Higher	4.0	Islam	Fulani	English	Hausa						Fulfulde				Fulfulde	Yes	Yes	Yes	Yes, NPC	Permanent	No	FCT	Fulfulde
180	1400.0	NG8	JIGAWA	Town	41.0	Male	Currently married	3.0	No	Higher	4.0	Islam	Hausa	English	Hausa										Hausa	No	No	No	No		No	JIGAWA	Hausa
181	1300.0	NG8	YOBE	Town	42.0	Female	Currently married	4.0	No	Higher	4.0	Islam	Kanuri/Beriberi	English	Hausa							Kanuri			Kanuri	Yes	Yes	Yes	No		No	YOBE	Kanuri
182	3700.0	NG8	OYO	CIty	44.0	Female	Currently married	4.0	No	Higher	8.0	Other christian	Yoruba	English		Yoruba									English	Yes	Yes	Yes	Yes, NPC	Permanent	No	OYO	English
183	3701.0	NG8	OYO	CIty	37.0	Female	Currently married	3.0	No	Higher	4.0	Other christian	Yoruba	English		Yoruba									English	Yes	Yes	Yes	Yes, NPC	Temporary	No	OYO	English
184	1701.0	NG8	NASARAWA	CIty	21.0	Male	Never married or lived with a man/woman	0.0	No	Higher	3.0	Islam	Alago	English	Hausa								Other language		Hausa	No	No	No	No		No	NASARAWA	Hausa
